User,Timestamp,Time Zone
test,2020-07-11T23:50:40.322143Z,America/Denver
test,2020-07-11T23:53:40.239813Z,America/Denver
test,2020-07-12T00:22:19.026023Z,America/Denver
test,2020-07-12T00:34:51.963570Z,America/Denver
test,2020-07-12T00:36:44.831495Z,America/Denver
test,2020-07-12T00:39:06.039113Z,America/Denver
test,2020-07-12T21:00:55.007943Z,America/Denver
test,2020-07-12T21:02:12.282280Z,America/Denver
test,2020-07-12T21:02:51.582979Z,America/Denver
test,2020-07-12T21:04:11.289755Z,America/Denver
test,2020-07-12T21:06:21.999046Z,America/Denver
test,2020-07-12T21:07:07.726519Z,America/Denver
test,2020-07-12T23:28:51.133451Z,America/Denver
test,2020-07-12T23:29:20.962075Z,America/Denver
test,2020-07-12T23:34:30.332204Z,America/Denver
test,2020-07-13T00:47:43.968481Z,America/Denver
test,2020-07-13T00:48:27.562687Z,America/Denver
test,2020-07-13T00:49:42.758975Z,America/Denver
test,2020-07-13T00:49:52.456466Z,America/Denver
test,2020-07-13T00:51:15.738282Z,America/Denver
test,2020-07-13T00:51:28.088663Z,America/Denver
test,2020-07-13T00:52:20.344567Z,America/Denver
test,2020-07-13T00:53:34.701609Z,America/Denver
test,2020-07-13T00:57:19.653687Z,America/Denver
test,2020-07-13T01:00:00.298572Z,America/Denver
test,2020-07-13T01:04:50.760222Z,America/Denver
test,2020-07-13T01:05:58.219103Z,America/Denver
test,2020-07-13T01:07:36.346741Z,America/Denver
test,2020-07-13T01:09:29.491045Z,America/Denver
test,2020-07-13T01:20:05.434171Z,America/Denver
test,2020-07-13T01:20:50.791598Z,America/Denver
test,2020-07-17T04:28:34.680819Z,America/Denver
test,2020-07-17T05:31:32.762376Z,America/Denver
test,2020-07-17T05:32:21.334498Z,America/Denver
test,2020-07-17T05:35:47.867117Z,America/Denver
test,2020-07-19T21:34:16.960773Z,America/Denver
test,2020-07-19T21:36:21.732862Z,America/Denver
test,2020-07-19T21:38:11.963472Z,America/Denver
test,2020-07-19T21:39:00.391263Z,America/Denver
test,2020-07-19T21:40:31.235128Z,America/Denver
test,2020-07-19T21:47:31.666791Z,America/Denver
test,2020-07-19T22:12:57.489725Z,America/Denver
test,2020-07-19T22:16:07.386370Z,America/Denver
test,2020-07-20T01:06:58.060702Z,America/Denver
test,2020-07-20T01:07:37.835715Z,America/Denver
test,2020-07-20T01:08:24.438343Z,America/Denver
test,2020-07-20T01:11:05.108342Z,America/Denver
test,2020-07-20T01:20:24.602595Z,America/Denver
test,2020-07-20T01:21:20.514416Z,America/Denver
test,2020-07-20T01:22:37.592278Z,America/Denver
test,2020-07-20T06:56:25.837349Z,America/Denver
test,2020-07-20T06:58:07.566304Z,America/Denver
test,2020-07-20T06:59:43.234969Z,America/Denver
test,2020-07-20T07:02:13.456352Z,America/Denver
test,2020-07-20T07:05:46.339623Z,America/Denver
test,2020-07-20T07:06:22.796655Z,America/Denver
test,2020-07-20T07:07:27.518657Z,America/Denver
test,2020-07-20T07:08:30.123901Z,America/Denver
test,2020-07-20T07:08:49.875342Z,America/Denver
test,2020-07-20T07:09:59.100014Z,America/Denver
test,2020-07-20T07:11:00.509422Z,America/Denver
test,2020-07-20T07:16:29.321664Z,America/Denver
test,2020-07-20T07:17:15.025857Z,America/Denver
test,2020-07-22T02:34:46.290314Z,America/Denver
test,2020-07-22T02:41:40.225262Z,America/Denver
test,2020-07-22T02:44:06.582728Z,America/Denver
test,2020-07-22T02:44:52.813558Z,America/Denver
test,2020-07-22T02:47:17.549337Z,America/Denver
test,2020-07-24T21:01:24.614523Z,America/Denver
test,2020-07-24T22:51:34.892538Z,America/Denver
test,2020-07-24T22:55:34.155302Z,America/Denver
test,2020-07-24T22:57:36.435686Z,America/Denver
test,2020-07-29T02:20:18.516948Z,America/Denver
test,2020-07-29T02:21:05.486547Z,America/Denver
test,2020-07-29T02:38:33.900078Z,America/Denver
test,2020-07-29T02:40:26.184464Z,America/Denver
test,2020-07-29T02:43:53.426933Z,America/Denver
test,2020-07-29T02:45:17.033842Z,America/Denver
test,2020-07-29T02:47:40.425249Z,America/Denver
test,2020-07-29T03:05:25.775886Z,America/Denver
test,2020-07-29T03:10:22.513588Z,America/Denver
test,2020-07-29T03:14:28.233112Z,America/Denver
test,2020-07-29T03:26:19.926759Z,America/Denver
test,2020-07-29T03:27:06.340949Z,America/Denver
test,2020-07-29T03:31:14.652327Z,America/Denver
test,2020-07-31T04:25:23.971057Z,America/Denver
test,2020-07-31T04:26:17.995983Z,America/Denver
test,2020-07-31T04:30:35.458029Z,America/Denver
test,2020-07-31T04:55:20.317277Z,America/Denver
test,2020-07-31T05:06:14.184806Z,America/Denver
test,2020-07-31T05:06:57.796004Z,America/Denver
test,2020-07-31T05:10:31.294595Z,America/Denver
test,2020-07-31T05:12:40.030920Z,America/Denver
test,2020-07-31T05:13:18.967395Z,America/Denver
test,2020-07-31T05:20:04.886007Z,America/Denver
test,2020-08-01T20:37:19.602149Z,America/Denver
test,2020-08-01T20:38:22.279638Z,America/Denver
test,2020-08-01T20:40:22.530208Z,America/Denver
test,2020-08-01T21:06:42.317105Z,America/Denver
test,2020-08-03T00:14:20.176837Z,America/Denver
test,2020-08-03T00:19:01.388761Z,America/Denver
test,2020-08-03T00:20:11.256441Z,America/Denver
test,2020-08-03T00:21:29.989121Z,America/Denver
test,2020-08-03T00:23:33.237367Z,America/Denver
test,2020-08-03T00:24:23.893019Z,America/Denver
test,2020-08-03T00:26:35.318031Z,America/Denver
test,2020-08-03T00:27:07.573488Z,America/Denver
test,2020-08-03T00:45:44.253227Z,America/Denver
test,2020-08-03T00:49:34.259196Z,America/Denver
test,2020-08-03T00:51:00.844951Z,America/Denver
test,2020-08-03T00:52:05.773314Z,America/Denver
test,2020-08-03T00:58:11.457930Z,America/Denver
test,2020-08-03T04:25:12.929552Z,America/Denver
test,2020-08-03T04:27:41.214601Z,America/Denver
test,2020-08-03T04:31:03.753926Z,America/Denver
test,2020-08-03T04:32:44.867795Z,America/Denver
test,2020-08-03T04:34:19.450194Z,America/Denver
test,2020-08-03T04:37:29.238030Z,America/Denver
test,2020-08-03T23:12:55.207957Z,America/Denver
test,2020-08-05T02:13:59.634501Z,America/Denver
test,2020-08-05T02:14:52.710950Z,America/Denver
test,2020-08-05T02:15:54.674062Z,America/Denver
test,2020-08-05T02:25:06.714707Z,America/Glace_Bay
test,2020-08-05T02:26:29.412188Z,America/Glace_Bay
test,2020-08-05T02:27:30.738370Z,America/Glace_Bay
test,2020-08-05T02:30:53.912535Z,America/Glace_Bay
test,2020-08-05T02:41:57.436449Z,America/Glace_Bay
test,2020-08-05T02:43:38.889573Z,America/Glace_Bay
test,2020-08-05T02:44:07.007011Z,America/Glace_Bay
test,2020-08-05T02:53:08.424915Z,America/Glace_Bay
test,2020-08-05T02:59:17.831976Z,America/Denver
test,2020-08-05T02:59:30.077777Z,America/Denver
test,2020-08-05T02:59:42.530646Z,America/Denver
test,2020-08-05T03:01:49.017059Z,America/Denver
test,2020-08-05T03:19:42.171005Z,America/Denver
test,2020-08-05T03:20:46.655701Z,America/Denver
test,2020-08-05T03:22:22.228233Z,America/Denver
test,2020-08-05T03:23:14.033426Z,America/Denver
test,2020-08-05T03:29:14.222107Z,America/Denver
test,2020-08-05T03:30:48.177071Z,America/Denver
test,2020-08-05T03:32:49.475894Z,America/Denver
test,2020-08-05T13:49:52.461350Z,America/Denver
test,2020-08-05T13:51:28.123668Z,America/Denver
test,2020-08-05T13:54:08.023403Z,America/Denver
test,2020-08-05T13:59:54.681934Z,America/Denver
test,2020-08-05T14:01:28.066303Z,America/Denver
test,2020-08-05T14:08:14.785633Z,America/Denver
test,2020-08-05T14:09:52.668313Z,America/Chicago
